Volcano,Latitude,Longitude,Vent altitude,Year,Duration,TEM,Plume top height,Wind NOAA,Brunt-Väisälä frequency NOAA,Wind shear NOAA,Wind speed ERA,Brunt-Väisälä frequency ERA,Wind shear ERA
Agung,-8.343,115.508,3142,1963,5.25,3.74E+11,13,10.08207613,0.01078315563,0.001940100801,3.571635734,0.01000300403,0.0005129816777
Agung,-8.343,115.508,3142,1963,4.5,3.54E+11,13,8.186313676,0.01061230237,0.001342543872,8.762418389,0.01002836529,0.001564127695
Anatahan,16.35,145.67,0,2003,35,2.93E+10,8,5.437571809,0.0119685329,0.0007864668835,6.436519266,0.01196650272,0.001061088448
Anatahan,16.35,145.67,0,2003,48,9.25E+09,2.5,2.798929021,0.01152422321,0.00186032546,3.230935783,0.01185196042,0.001913647444
Augustine,59.363,-153.43,1252,2006,0.0697,1.73E+09,13.5,4.372797653,0.0152099411,0.0006115036621,5.993524414,0.01529841791,0.0007596258667
Bezymianny,55.972,160.595,3085,1956,2.5,5.00E+11,39.5,9.973922437,0.02026811788,0.0004770329158,17.69931762,0.0200172797,0.0007764980095
Bezymianny,55.972,160.595,2882,1984,30,1.10E+10,7.5,28.57148041,0.0114806091,0.01024477157,30.67509886,0.01140910851,0.01093512878
Bezymianny,55.972,160.595,2882,2006,1,5.10E+09,13.5,13.3269076,0.01680152231,0.002429798665,13.1796686,0.01702995916,0.002329345933
Bezymianny,55.972,160.595,2882,2009,2.9,3.40E+09,11,16.91800704,0.01623316056,0.002967268929,22.3527641,0.01525139584,0.004000056512
Calbuco,-41.33,-72.618,2003,2015,1.5,1.01E+11,20,13.67728484,0.01512214062,0.001199587125,11.24807275,0.01460583497,0.001033209459
Calbuco,-41.33,-72.618,2003,2015,6.12,2.81E+11,21,14.45440427,0.01546754505,0.001160248627,10.64229147,0.01478703686,0.000899387443
Cerro Hudson,-45.9,-72.97,1905,1991,16,2.00E+11,10.5,11.87094704,0.01205562332,0.002582140487,12.66728105,0.01084866834,0.002936922403
Cerro Hudson,-45.9,-72.97,1905,1991,51,6.03E+12,16,32.57416363,0.01542190716,0.003807770152,31.02758069,0.01550961311,0.003537235744
Cerro Negro,12.506,-86.702,631,1968,960,1.50E+10,2.3,4.699299347,0.01141232742,0.003719865144,6.805615898,0.01206544131,0.006541548279
Cerro Negro,12.506,-86.702,670,1971,134,4.20E+10,6.5,4.707829517,0.01238919289,0.001198921591,6.008308213,0.01173732506,0.001457615344
Cerro Negro,12.506,-86.702,620,1992,32.4,3.60E+10,5.5,7.236136019,0.01142554664,0.002225830772,8.798871348,0.01164689165,0.002364066812
Cerro Negro,12.506,-86.702,630,1995,84,3.44E+09,4.25,6.629514833,0.0127906123,0.003023191995,10.02945852,0.01190834001,0.004185434323
Cerro Negro,12.506,-86.702,728,1999,30,1.30E+08,4.5,5.333570524,0.01240233124,0.001976175406,6.162605402,0.01209892061,0.002394890522
Chaitén,-42.833,-72.646,1122,2008,6,4.10E+09,17,14.84942444,0.01382735964,0.001610913933,16.19893077,0.01345584248,0.001739463839
Chaitén,-42.833,-72.646,1122,2008,60,2.60E+11,10,18.80258032,0.01139492489,0.00377491141,22.36084072,0.01139634944,0.004468457851
Chaitén,-42.833,-72.646,1122,2008,3.5,2.20E+11,21,21.24210673,0.01640428903,0.001755249973,21.41567765,0.01635262076,0.001727519203
Chikurachki,50.324,155.461,1815,1986,72,2.60E+11,9.5,4.941980322,0.01349127535,0.001145064727,3.040060194,0.01280501197,0.0005646833877
Puyehue-Cordón Caulle,-40.59,-72.117,1470,2011,27,4.50E+11,11.8,14.05386214,0.01230193487,0.002408112922,18.01518722,0.01243566739,0.003080695531
Puyehue-Cordón Caulle,-40.59,-72.117,1470,2011,9,1.30E+11,11.1,32.46103266,0.0119426439,0.005687621477,39.62773321,0.01168924902,0.006864806901
Puyehue-Cordón Caulle,-40.59,-72.117,1470,2011,9.25,2.80E+10,7.6,28.86316479,0.01068958438,0.007313519448,32.77765805,0.009951960629,0.008832806785
Cotopaxi,-0.677,-78.436,5987,2015,14,1.58E+08,12.5,6.262956356,0.01013338336,0.001190000094,5.974389431,0.009696268329,0.001207626097
Cotopaxi,-0.677,-78.436,5987,2015,580,7.65E+08,8.5,7.592707241,0.01138356186,0.004230980121,5.760395182,0.01105845332,0.002642863338
Cotopaxi,-0.677,-78.436,5987,2015,390,2.28E+08,8,4.538399562,0.0118092827,0.003107405524,3.75013022,0.01176042054,0.00205583224
Cotopaxi,-0.677,-78.436,5987,2015,500,3.49E+07,7.5,4.797722163,0.01244376564,0.004767946546,4.030373232,0.0119992975,0.004364850274
El Chichón,17.36,-93.228,1150,1982,5.5,5.00E+11,17.5,7.017741548,0.01237323676,0.0008035691372,6.630497766,0.01219285716,0.0006961763767
Etna,37.748,14.999,3295,1998,0.45,3.00E+09,11,4.708344851,0.01143760823,0.001074447285,4.503875805,0.01140259834,0.0009320874007
Etna,37.748,14.999,2570,2001,73.5,1.75E+09,4.25,13.36017863,0.01184072535,0.01282924217,11.22735111,0.01329258174,0.0113893975
Etna,37.748,14.999,2750,2002,10,8.70E+08,5.95,13.35862107,0.0107232937,0.006617169521,11.72717743,0.01062111574,0.005996865268
Etna,37.748,14.999,2750,2002,6,1.05E+09,6.95,9.173372078,0.009056317236,0.003637362892,10.0143728,0.009765617602,0.003887375489
Etna,37.748,14.999,2750,2002,4,4.50E+08,6.45,13.34900646,0.009464295186,0.006388855871,11.34506538,0.009988762821,0.005665983108
Etna,37.748,14.999,2750,2002,18,1.39E+09,5.65,11.05774209,0.01118006444,0.005672856758,11.49210241,0.01183111838,0.005947114049
Etna,37.748,14.999,3315,2006,8,7.00E+06,3.9,5.984589147,0.01395644194,0.01561652352,6.371798228,0.0158616808,0.01660274374
Etna,37.748,14.999,2800,2006,11.5,1.80E+08,4.8,10.47460542,0.01383355015,0.008111229309,8.134226342,0.01427327023,0.006090289958
Etna,37.748,14.999,3200,2011,1.66,1.50E+08,9.2,15.99282147,0.00982966238,0.004962404779,9.474776905,0.01049950938,0.002904193786
Etna,37.748,14.999,3300,2013,1.1,2.00E+09,8.1,31.22790672,0.01010998141,0.01102138086,31.20537553,0.009970601075,0.01077335454
Etna,37.748,14.999,3300,2013,5.5,2.25E+08,8,7.843087667,0.009899381839,0.003070191929,7.227794878,0.009803219899,0.002810239571
Etna,37.748,14.999,3300,2013,0.62,1.30E+09,10.5,35.4818122,0.01291426365,0.008489883402,34.41451279,0.0126253754,0.008586040863
