lat,lon,thickness_cm
28.57799,-17.87768,15.0
28.59269,-17.87912,20.0
28.59804,-17.8802,28.0
28.60489,-17.87986,80.0
28.60348,-17.88543,80.0
28.57577,-17.78669,3.0
28.6647,-17.84981,1.0
28.69739,-17.85693,0.0
28.69198,-17.85197,0.0
28.67239,-17.84623,0.5
28.63229,-17.88787,8.0
28.64584,-17.89845,5.0
28.64298,-17.91196,3.0
28.63211,-17.92384,2.0
28.63264,-17.9305,2.0
28.64874,-17.94475,0.15
28.66271,-17.93445,0.5
28.65749,-17.93458,1.0
28.50963,-17.82606,1.0
28.49795,-17.83504,2.0
28.49119,-17.83027,5.0
28.47647,-17.83634,5.0
28.46803,-17.84118,1.0
28.45851,-17.84545,1.0
28.45438,-17.84209,1.0
28.50855,-17.86906,1.0
28.49108,-17.85062,2.0
28.52791,-17.86376,2.0
28.56609,-17.87276,5.0
28.83114,-17.7895,0.0
28.83445,-17.82735,0.0
28.83461,-17.84436,0.0
28.7723,-17.76655,0.0
28.71682,-17.74936,2.0
28.72113,-17.75726,0.0
28.70336,-17.77914,0.0
28.66894,-17.80062,1.0
28.65634,-17.81293,5.0
28.65448,-17.81907,5.0
28.64802,-17.83269,3.0
28.65998,-17.80876,2.0
28.64541,-17.78789,1.0
28.61013,-17.7799,2.0
28.58126,-17.78524,1.0
28.54823,-17.80784,2.0
28.63278,-17.91501,2.0
28.63399,-17.91746,2.0
28.63334,-17.92439,5.0
28.62818,-17.92397,5.0
28.63877,-17.88899,5.0
28.6712,-17.78358,0.0
28.67377,-17.77846,0.0
28.685,-17.7758,0.0
28.68289,-17.77008,0.0
28.77609,-17.96875,0.0
28.77633,-17.93774,0.0
28.78394,-17.93371,0.0
28.79564,-17.89748,0.0
28.79741,-17.88598,0.0
28.80281,-17.87166,0.0
28.67742,-17.91504,0.0
28.68076,-17.91156,0.5
28.65298,-17.86408,3.0
28.66568,-17.85655,0.5
28.66646,-17.85775,0.5
28.67654,-17.84956,0.5
28.65224,-17.85764,2.0
28.63324,-17.87896,10.0
28.637,-17.86257,8.0
28.63879,-17.86206,10.0
28.64039,-17.86161,10.0
28.64814,-17.86881,5.0
28.65009,-17.88505,5.0
28.65614,-17.89211,5.0
28.65395,-17.85201,8.0
28.63466,-17.88957,5.0
28.62778,-17.88581,10.0
28.63276,-17.88808,15.0
28.65204,-17.90136,6.0
28.6616,-17.89527,1.0
28.65533,-17.93126,0.5
28.6615,-17.93352,0.5
28.65184,-17.94557,0.5
28.71395,-17.74913,0.0
28.71856,-17.74266,0.5
28.71906,-17.7382,0.0
28.71966,-17.73472,0.0
28.73587,-17.72626,0.0
28.74858,-17.73455,0.0
28.75747,-17.73576,0.0
28.78384,-17.91768,0.0
28.77834,-17.90625,0.0
28.77008,-17.90379,0.0
28.76303,-17.89103,0.0
28.7641,-17.8767,0.0
28.7605,-17.87041,0.0
28.7568,-17.85485,0.0
28.7501,-17.84369,0.0
28.75148,-17.83569,0.0
28.74461,-17.83065,0.0
28.73759,-17.82624,0.0
28.73171,-17.81022,0.0
28.72252,-17.80739,0.0
28.72435,-17.79312,0.0
